"message"
"수원, 창현고 짜장면 먹고싶어요
사진은 제가 먹다남은 짬뽕이네요
재학중은 아니지만 모교학생분들의 배를 불러드리게 하고자 이 이벤트에 참여하는 바입니다
(팔로워님들 좋아요 한번씩 부탁합니다..)"
"?경북 경산, 하양여자중학교?

이 글 보시는 하양여중 학생 분들, 공감되시는 분은
이 글 복사해서 배달의민족 게시물에 붙여넣기 해 주세요!!

먼저 신고 좀 하지 말아주세요!
까칠하고 배고픈 중학생 입니다. 저흰 잘못 안 했어요.

안녕하세요 배달의 민족님
구구절절 저희 반 사연부터 말씀드릴게요
저희 반 선생님 께서는 짜장면을 사 주신다고 몇 달 전부터 말씀 하셨습니다. 그런데 그 몇 달이 6개월이 지났네요... 그래도 선생님은 벼르지도 않으십니다.. 저희 반 마른 아이들은 하루 하루가 지날 수록 말라가고 빈약해져 갑니다.
어떻게 생각하시나요?
한창 많이 먹고 크게 자라나야 할 아이들이
먹고싶은 거 하나 못 먹고 이렇게 굶주린 학생들이 되어갑니다......
우리는 짜장면이 먹고싶습니다.
그 검은 면발에 고소하고 짭조름한 그 양념을, 기름기는 있지만 목넘김이 스무스한 그런. 짜장면이 먹고싶습니다.
어젠 급식 스파게티에서 노랑 검정 콜라보 애벌레가 나왔구요.
학교가 산 꼭대기고 걸어서 가지도 못 해서 짜장면 먹기도 힘듭니다.
저흴 위해 항상 고생하시는 선생님들을 위해.
저희 학교는 전교생 1000명도 안 되는 조그만 학교에 많은 재능을 기부 해 주시는 선생님들을 위해서라도
짜장면 1000그릇 꼭 먹고 싶습니다.

저와 함께 하는 동지 입니숙희숙민경민다연다지민지지영지손예진예진예진 @정다연 @백민지
모두가 마르고 굶주린 가엾은 아이들입니다.

저희 학교 전체가 짜장면을 갈구 합니다.

그리고 욕 좀 하지 마삼

사랑합니다. 배달의 민족 ❤"
"울산 문수고등학교입니다 학교다니면서 잘다니지도않았지만 학교에 기여한게없어서 참여합니다
졸업하기전에 사람구실한번하고싶네요
(댓글좋아요 1등하면 짜장면준다니까 눌러주세요)
제꺼눌러야되요 다른거말고"
"저희 급식 수준인데...주세요...짜장면..❣️
경북 영천/영천여자고등학교
짜장면이 고파요
저희를 위해 하나의 짜장면이 필요합니다..
저희를 보아주세요, 저희를 도와주세요, 저희를 구출해주세요.. 부탁드립니다..
김예림김예진김수민윤유정김명주신연홍강한아정다현장다영박다인"
"대구, 대구여자상업고등학교 자장면 먹고싶어요!!!!!
취업/진학으로 스트레스를 많이 받는 우리학교학생들에게 한그릇의 자장면으로 힐링하게 해주세요~❤️❤️❤️ 
저번 치킨이벤트 안타깝게 2위했어요..?
이번엔 꼭 되길!! 배민애용합니당>_<??"
"용인 , 영문중
안녕하세요 에버랜드 아시나요 ㅎㅎ 그쪽에있는 나름 운치를 느낄수있는 정말 좋은 학교 영문중이에요 ! 선생님들도 열심히 수업도 해주시고 저는 3학년 학생부회장입니두 ! 저는 부회장으로 학겨를 위해 열심히 일을 하기도 하고요 이런 우리 친구들을 위해 짜장면 한번 먹고갈께요 ^^!  산 위에 있는 학교에
저희는 사계절도 예뿌고 추억도 많운 학교인데
곧 졸업하기전에 다같이 짜장면먹고 웃고 싶어요 우리 영문중 산이라그런지 운동도 잘해요 모든지 열심히인 우리중학교 ^-^♡ 우리 짜장면 먹고 말도 잘듣자
? 댓글 좋아요?"
"대구 사대부중학교 자장면 먹고싶어요!!❤
3학년되서도 맛있는거 다같이 먹어본적도 없고 기억에 남을 만한 추억도 얼마없는데 저희 학교에게 좋은 추억 선물해주세요ㅜㅜ
이벤트하는것 마다 단합안되고 그래서 못 뽑히고 그랬는데 이번에는 꼭 1등해서 자장면 먹고싶어요!! 중간고사 끝난지 얼마안됫는데 곧 기말고사라서 아이들이 지쳐있습니당ㅜ 전교생이랑 다같이 맛있게 먹고싶습니다 사랑해요..❤????
정유진 김소명 안우진 노은지 김수연 정미경 윤서현 황지희 황원정"
"분당,양영중학교!!
저희학교ㄹㅇ 수련회도없고 수학여행도 없고 체육대회도 없고 그나마 있는 축제도 격년제로 해서 좀 학교에 특별한 일좀 있었으면 한데 부디 아량을 베풀으셔서 저희 양영중에게 행복을 주셨으면 합니다ㅜㅜ"
"대전 글꽃중이요 ♡♡

시험 끝난지 얼마되지않았는데 그동안 받은 스트레스와 떨어진성적으로 인한 절망감을 학교 친구들, 선후배님들과 함께 짜장면을 나눠먹으면서 힐링하고싶네요 ~ ??"
"❤️경북 영천 , 영천여자중학교 ❤️
저희학교급식 물론 맛있지만 짜장면은 나온적은 없어요ㅠㅠ! 친구들이랑 짜장면 꼭먹고싶어요? 곧있으면 체육대회랑 축제해서 합창연습,장기자랑연습으로 다들 힘들텐데 배달의 민족에서 짜장면 쏴주시면 진짜좋을꺼같아요,,? 그리고 저희학교 언덕이 많이 높아요 사진보다 더 훨씬 높아요 언덕 매일오르려면 힘이있어야해요!! 언니들은 지금시험기간이신데 공부한다고 진짜 힘드실거같아요 전교생도 많이안되요! 배달의민족 사랑하지만 저희학교에 짜장면 쏴주시면 진짜 더 사랑할껍니다 싸랑해요?
규리 규리채라온채린해라온해진선라온선우린윤혜린아이수아은무공은지아최은아서권은서님 댓글에 (경북영천, 영천여중) 한번달고 내댓글에도 좋아요 눌러줘❣️"
