강동초등학교,
강릉고등학교,
강릉명륜고등학교,
강릉문성고등학교,
강릉여자고등학교,
강릉오성학교,
강릉정보공업고등학교,
강릉제일고등학교,
강원대학교사범대학부설고등학교,
강릉제일고등학교부설방송통신고등학교,
강릉중앙고등학교,
강릉중학교,
강릉중학교부설방송통신중학교,
강릉초등학교,
강릉해람중학교,
강원예술고등학교,
춘천교육대학교부설초등학교,
강일여자고등학교,
경포고등학교,
경포대초등학교,
경포중학교,
경포초등학교,
관동중학교,
교동초등학교,
구정초등학교,
금광초등학교,
남강초등학교,
남산초등학교,
노암초등학교,
동명중학교,
동명초등학교,
명주초등학교,
모산초등학교,
사천중학교,
사천초등학교,
성덕초등학교,
성산초등학교,
솔올중학교,
송양초등학교,
신영초등학교,
신왕초등학교,
연곡초등학교,
영동초등학교,
옥계중학교,
옥계초등학교,
옥계초등학교금진분교장,
옥천초등학교,
왕산중학교,
왕산초등학교,
운산초등학교,
운양초등학교,
유천초등학교,
율곡중학교,
율곡초등학교,
임곡초등학교,
정동초등학교,
주문진고등학교,
주문진중학교,
주문진초등학교,
주문진초등학교삼덕분교장,
주영초등학교,
중앙초등학교,
초당초등학교,
포남초등학교,
하슬라중학교,
한솔초등학교,
간성초등학교,
거성초등학교,
거진정보공업고등학교,
거진중학교,
거진초등학교,
고성고등학교,
고성중학교,
장자초등학교,
공현진초등학교,
광산초등학교,
광산초등학교흘리분교장,
대진고등학교,
대진중학교,
대진초등학교,
대진초등학교명파분교장,
도학초등학교,
동광산업과학고등학교,
동광중학교,
동광초등학교,
아야진초등학교,
오호초등학교,
인흥초등학교,
죽왕초등학교,
천진초등학교,
남호초등학교,
동해광희고등학교,
동해광희중학교,
동해삼육고등학교,
동해삼육중학교,
동해삼육초등학교,
동해상업고등학교,
동해중앙초등학교,
갈매초등학교,
동해중학교,
동해초등학교,
동해해솔학교,
동호초등학교,
망상초등학교,
묵호고등학교,
묵호고등학교부설방송통신고등학교,
묵호중학교,
묵호초등학교,
북삼초등학교,
북평고등학교,
북평여자고등학교,
북평중학교,
북평초등학교,
삼화초등학교,
송정초등학교,
예람중학교,
창호초등학교,
천곡초등학교,
청운초등학교,
하랑중학교,
가곡고등학교,
가곡중학교,
근덕중학교,
근덕초등학교,
근덕초등학교궁촌분교장,
도계고등학교,
도계여자중학교,
도계전산정보고등학교,
도계중학교,
도계초등학교,
도계초등학교소달분교장,
맹방초등학교,
미로중학교,
미로초등학교,
삼일고등학교,
삼일중학교,
삼척고등학교,
삼척남초등학교,
삼척마이스터고등학교,
삼척여자고등학교,
삼척중앙초등학교,
삼척중학교,
삼척초등학교,
서부초등학교,
신동초등학교,
오저초등학교,
원덕고등학교,
원덕중학교,
인창중학교,
임원중학교,
임원초등학교,
장원초등학교,
장호초등학교,
정라초등학교,
진주초등학교,
청아중학교,
하장중학교,
하장초등학교,
호산초등학교,
흥전초등학교,
교동초등학교,
대포초등학교,
설악중학교,
설악초등학교,
설온중학교,
소야초등학교,
속초중학교,
속초초등학교,
속초해랑중학교,
영랑초등학교,
설악고등학교,
설악고등학교부설방송통신고등학교,
온정초등학교,
조양초등학교,
중앙초등학교,
청대초등학교,
속초고등학교,
속초여자고등학교,
청봉초등학교,
속초청해학교,
청호초등학교,
강원외국어고등학교,
대암중학교,
도촌초등학교,
방산중학교,
방산초등학교,
비봉초등학교,
석천중학교,
양구고등학교,
양구여자고등학교,
양구중학교,
양구초등학교,
용하중학교,
용하초등학교,
원당초등학교,
임당초등학교,
죽리초등학교,
한전초등학교,
구리중학교,
해안중학교,
해안초등학교,
강현중학교,
강현초등학교,
광정초등학교,
양양고등학교,
남애초등학교,
상평초등학교,
상평초등학교공수전분교장,
상평초등학교오색분교장,
상평초등학교현서분교장,
손양초등학교,
송포초등학교,
양양중학교,
양양초등학교,
인구초등학교,
조산초등학교,
한남초등학교,
현남중학교,
현북중학교,
현북초등학교,
현성초등학교,
회룡초등학교,
구래초등학교,
내성초등학교,
녹전중학교,
녹전초등학교,
마차고등학교,
마차중학교,
마차초등학교,
무릉초등학교,
봉래중학교,
봉래초등학교,
상동고등학교,
상동중학교,
석정여자고등학교,
석정여자중학교,
신천초등학교,
쌍룡중학교,
쌍룡초등학교,
연당중학교,
연당초등학교,
영월고등학교,
영월중학교,
영월초등학교,
